ensemble size,depth,base accuracy,ensemble accuracy
5,1,0.19495555555555558,0.19572222222222221
5,2,0.33962222222222216,0.3592222222222222
5,3,0.47878888888888893,0.493
5,4,0.5925,0.6262222222222222
5,5,0.670911111111111,0.6831666666666667
5,6,0.7330444444444445,0.7691666666666667
5,7,0.7822666666666667,0.8232777777777778
5,8,0.8224444444444444,0.8780555555555556
