ensemble size,depth,base accuracy,ensemble accuracy
4,1,0.19405555555555554,0.19683333333333333
4,2,0.3423611111111111,0.35605555555555557
4,3,0.4540138888888889,0.4419444444444444
4,4,0.5901805555555555,0.6378888888888888
4,5,0.6794583333333334,0.725
4,6,0.7413194444444444,0.7728333333333334
4,7,0.782625,0.8452222222222222
4,8,0.821,0.8745555555555555
