ensemble size,depth,base accuracy,ensemble accuracy
6,1,0.19767592592592595,0.20166666666666666
6,2,0.33819444444444446,0.3373888888888889
6,3,0.46855555555555556,0.5135
6,4,0.580675925925926,0.6136111111111111
6,5,0.6770555555555555,0.6930555555555555
6,6,0.7341666666666667,0.8097777777777778
6,7,0.7823611111111112,0.839
6,8,0.820212962962963,0.8901111111111111
